,Q,A
517,Q," Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?"
518,A, Let's think step by step. 
519,"Arjun and Sajal are friends, each has some money. ",
520,We can set up two equations to solve for the amount of money each person has. ,
521,Arjun + Sajal = x ,
522,2(x - 30) = 3(x - 10) ,
523,We can solve for x and then plug that value back into our original equation to solve for the amount of money each person has. ,
524,x = 100 ,
525,Arjun + Sajal = 100 ,
526,Arjun = 100 - Sajal ,
527,Now we can plug this value of ,
528,Arjun = 60 ,
529,Sajal = 40,
530,27st data,
531,1_th_sampling,
532,Q," If 27 bottles of soda cost A cents, how much will B bottles cost in dollars?"
533,A, Let's think step by step. 
534,We know that 27 bottles cost A cents. ,
535,We want to know how much B bottles will cost in dollars. ,
536,We can set up a proportion, 
537,We can cross multiply to solve for x, 
538,27x = AB ,
539,x = AB/27 ,
540,"Since we want the answer in dollars, we will divide AB by 2700", 
541,x = AB/2700 ,
542,"Therefore, the answer is (A). ",
543,28st data,
544,1_th_sampling,
545,A, Let's think step by step. 
546,8 am - Jim fills the bowl with dog food. 100% of the food is in the bowl. ,
547,9 am - The dog eats 1/3 of the food in the bowl. 66.67% of the food is in the bowl.,
548,10 am - The dog eats 1/3 of the food in the bowl. 44.44% of the food is in the bowl.,
549,11 am - The dog eats 1/3 of the food in the bowl. 29.63% of the food is in the bowl.,
550,12 pm - The dog eats 1/3 of the food in the bowl ,
551,"Therefore, among A through E, the answer is closest to D, 35%. ",
552,29st data,
553,1_th_sampling,
554,Q," A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?"
555,A, Let's think step by step. 
556,The hotel pays $210 per week for newspapers. ,
557,We know that a newspaper costs $4 on Sunday and $1 the rest of the days of the week. ,
558,We also know that the hotel orders twice as many papers on Sunday as it does the rest of the days of the week. ,
559,"From this information, we can conclude that the hotel spends $4 x 2 = $8 on Sundays and $1 x 1 = $1 the rest of the days of the week. ",
560,$8 + $1 = $9 ,
561,$9 x 7 = $63 ,
562,30st data,
563,1_th_sampling,
564,Q," If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? "
565,A, Let's think step by step. 
566,We know that the probability that stock A will increase in value is 0.56. ,
567,We also know that the probability that stock B will increase in value is 0.74. ,
568,We want to find the greatest value for the probability that neither of these two events will occur. ,
569,This means that we want to find the probability that stock A will NOT increase in value AND the probability that stock B will NOT increase in value. ,
570,We can use the AND rule for probability to help us solve this problem. ,
571,The AND rule for probability states that the probability of two events occurring ,
572,"Therefore, among A through E, the answer is D. ",
573,P(A AND B) = P(A) * P(B),
574,P(A AND B) = 0.,
575,31st data,
576,1_th_sampling,
577,Q, There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket? 
578,A, Let's think step by step. 
579,There are 10 oranges in the basket. ,
580,You want to choose 2 oranges. ,
581,How many ways can you choose the first orange? ,
582,There are 10 ways. ,
583,How many ways can you choose the second orange? ,
584,There are 9 ways. ,
585,"So, there are 10 * 9 ways to choose 2 oranges from the basket. ",
586,Answer, (B) 90 
587,32st data,
588,1_th_sampling,
589,Q," 20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? "
590,A, Let's think step by step. 
591,There are 20 white marbles in the bag. ,
592,"We pull them out, paint them black, and put them back in. ",
593,"Now, the bag has 20 black marbles and 20 white marbles. ",
594,"We pull out 20 marbles again, and this time 1 of them is black. ",
595,"This means that the percentage of black marbles pulled out the second time is 1/20, or 5%. ",
596,"Now, we want to know how many marbles are in the bag in total. ",
597,We can set up the following equation, 
598,(% black marbles pulled out ,
599,"Therefore, among A through E, the answer is D. ",
600,Q, there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school? 
601,A, Let's think step by step. 
602,There are more than 501 students in the school. ,
603,20% of them exactly took physics. ,
604,28% of them exactly took math. ,
605,We can write this as, 
606,There are more than 501 students in the school. ,
607,There are more than 100 students who took physics. ,
608,There are more than 140 students who took math. ,
609,We want to find the least possible number of students in the school. ,
610,The least possible number of students in the school is 241. ,
611,2st data,
612,Q," The sum of k consecutive integers is 51. If the least integer is -50, then k = Answer "
613,A, Let's think step by step. We know that the sum of k consecutive integers is 51. We also know that the least integer is -50. 
614,We can write this out as, 
615,-50 + (-49) + ... + k = 51 ,
616,We can solve this equation for k, 
617,k = 102 ,
618,3st data,
619,Q, A paper is in a square form whose one side is 20 cm. Two semi circles are drawn on its opposites as diameters. If these semi circles are cut down what is the area of the remaining paper? 
620,A, Let's think step by step. 
621,"First, we need to calculate the area of the paper. The paper is in a square form, so the area is just the length of one side squared. The length of one side is 20 cm, so the area is 20 cm * 20 cm = 400 cm^2. ",
622,"Next, we need to calculate the area of the two semi-circles. The area of a semi-circle is half the area of a circle, and the area of a circle is pi * r^2, where r is the radius. The radius of each semi-circle is half the length of one side",
623,4st data,
624,Q," Jerry purchased a 1-year $5,000 bond that paid an annual interest rate of 12% compounded every six months. How much interest had this bond accrued at maturity? "
625,A, Let's think step by step. 
626,"The first thing we need to do is calculate the semi-annual interest rate. We do this by dividing the annual interest rate by the number of compounding periods per year. In this case, we divide 12% by 2 to get 6%. ",
627,"Next, we need to calculate the amount of interest that accrues each six months. We do this by multiplying the face value of the bond ($5,000) by the semi-annual interest rate (6%). This gives us $300. ",
628,"Now, we need to calculate the total amount of interest that accrues over the life ",
629,5st data,
630,1_th_sampling,
631,Q," There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?"
632,A, Let's think step by step. 
633,There is a 90% chance that a registered voter in Burghtown voted in the last election. ,
634,There is a 10% chance that a registered voter in Burghtown did not vote in the last election. ,
635,There are 5 registered voters in total. ,
636,There are 4 ways that 4 out of 5 voters could have voted in the last election. ,
637,There is only 1 way that 3 out of 5 voters could have voted in the last election. ,
638,There are no ways that 2 out of 5 voters or 1 out of 5 voters could have voted in the last election ,
639,6st data,
640,Q, In a row of children Neha is 12th from left end and Radha is 6th from right end. When Radha is shifted to left by 2 places and Neha is shifted to right by 2 places there 6 children between Radha and Neha. How many children are there in the row?
641,A, Let's think step by step. 
642,"There are 12 children to the left of Neha, so there must be at least 12 children in the row. ",
643,"There are 6 children to the right of Radha, so there must be at least 18 children in the row. ",
644,"There are 6 children between Radha and Neha, so there must be at least 24 children in the row. ",
645,"The answer must be between 24 and 27, and the only answer that satisfies this is 26. ",
646,"Therefore, the answer is 26. ",
647,7st data,
648,Q," Tires of a certain brand, when purchased new, last for four years. A customer can choose to purchase the new tires at a cost of $180 per tire or can have his current tires repaired at a cost of $40 per tire, a repair that will make the current tires last for one additional year. The average cost per year of the new tires is what percent greater than the cost of repairing the current tires? "
649,A, Let's think step by step. 
650,The cost of new tires is $180 per tire. ,
651,The cost of repairing the current tires is $40 per tire. ,
652,The difference in cost is $180 - $40 = $140. ,
653,"To find the percent increase, we take the difference in cost and divide it by the original cost. In other words, we take $140 and divide it by $40. ",
654,$140/$40 = 3.5 ,
655,"3.5 is greater than 1, so we know that the new tires cost more than the repaired tires. ",
656,8st data,
657,Q, Anna is able to buy 5 more articles for $300 after the price of each article decreased by 15%. What is the new selling price of each article?
658,A, Let's think step by step. 
659,Anna is able to buy 5 more articles for $300. ,
660,That means that the 5 articles cost $60 each. ,
661,The price of each article decreased by 15%. ,
662,That means that the original price of each article was $70. ,
663,$70 - $60 = $10 ,
664,The new selling price of each article is $10. ,
665,9st data,
666,A, Let's think step by step. 
667,The first car will travel 15 miles in 15/55 hours. ,
668,The second car will travel 15 miles in 15/52 hours. ,
669,Now we need to compare the two times. ,
670,15/55 = 0.2727272727272727 ,
671,15/52 = 0.28846153846153846 ,
672,"Since 0.28846153846153846 is greater than 0.2727272727272727, it will take the second car longer to travel 15 miles. ",
673,10st data,
674,1_th_sampling,
675,Q," A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make? "
676,A, Let's think step by step. 
677,The grocery sells a bag of ice for $1.25. ,
678,This means that the grocery buys the bag of ice for $1. ,
679,The grocery makes 20% profit. ,
680,This means that the grocery's profit is $0.20. ,
681,The grocery sells 500 bags of ice. ,
682,"This means that the grocery's total profit is 500 * $0.20, which is $100. ",
683,11st data,
684,Q," A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours, how much speed does the car gain?"
685,A, Let's think step by step. 
686,The car is currently travelling at 60 km/hr. ,
687,"In order to travel the same distance in 10 hours, the car would need to travel at 6 times the speed, or 360 km/hr. ",
688,"Therefore, the car would need to gain 300 km/hr. ",
689,12st data,
690,Q," Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.) "
691,A, Let's think step by step. 
692,There are 10 different types of books. ,
693,That means we need at least 10 different codes. ,
694,The codes can be either a single letter or a pair of two different letters. ,
695,That means the maximum number of codes we would need is 20. ,
696,"However, we know that each type of book is uniquely represented by either a single letter or pair of letters. ",
697,"That means some of the codes can be single letters, and some of the codes can be pairs of letters. ",
698,The minimum number of codes we could use is 3. ,
699,13st data,
700,Q, Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?
701,A, Let's think step by step. 
702,Q is as much younger than R as he is older than T. ,
703,Q is younger than R by x years. ,
704,Q is older than T by x years. ,
705,Now we have two equations and two unknowns. We can solve for x. ,
706,R + T = 50 ,
707,R - Q = x ,
708,T - Q = x ,
709,R + T = 50 ,
710,R - T = -x ,
711,2T = 50 - x ,
712,T = 25 - (1/2)x ,
713,14st data,
714,A, Let's think step by step. 
715,"The first thing we need to do is figure out what the semi-perimeter of the room is. The semi-perimeter is just half of the perimeter, so we need to find the perimeter first. ",
716,"The perimeter is just the sum of all the sides of the room. We know that the height is 2/5 of the semi-perimeter, so we can set up the following equation", 
717,2/5sp = h ,
718,"We also know that the width is 50 cm, so we can set up another equation", 
719,w = 50 ,
720,15st data,
721,1_th_sampling,
722,Q," A starts a business with Rs.40,000. After 2 months, B joined him with Rs.60,000. C joined them after some more time with Rs.120,000. At the end of the year, out of a total profit of Rs.375,000, C gets Rs.150,000 as his share. How many months after B joined the business, did C join? "
723,A, Let's think step by step. 
724,"C's share is 150,000. ",
725,"The total profit is 375,000. ",
726,"That means B's share is 375,000 - 150,000 = 225,000. ",
727,"Now we know that B's share is 60,000 more than A's share. ",
728,"That means A's share is 225,000 - 60,000 = 165,000. ",
729,"We also know that the total amount of money invested in the business is 40,000 + 60,000 + 120,000 = 220,000. ",
730,That means the total profit is 165% of ,
731,"Therefore, among A through E, the answer is D. C joined 24 months after B joined. ",
732,16st data,
733,1_th_sampling,
734,A," Let's think step by step. Jennie will bike 1/2 mile in 1 minute. In that same minute, Janice will bike 1/5 of a mile. So in one minute, they will have biked 3/10 + 1/5 = 11/20 of a mile. "
735,It will take them (20/11) minutes to bike 1 mile. (D) 4 minutes ,
736,17st data,
737,1_th_sampling,
738,A, Let's think step by step. 
739,The athlete runs M miles in 4 hours. ,
740,That's an average speed of M/4 miles per hour. ,
741,The athlete rides a bike N miles in the same number of hours. ,
742,That's an average speed of N/4 miles per hour. ,
743,"The average speed for these two activities combined is the sum of the average speeds for each activity, so", 
744,(M/4) + (N/4) = (M + N)/8,
745,18st data,
746,1_th_sampling,
747,Q," All 250 files on Sam's hard drive are infected by either a virus or a worm or both. The number of files that are infected only by a worm is 2.5 times the number of files that are infected by both a virus and a worm. If 50% of the files were not infected by a virus, how many of Sam's files were NOT infected by a worm? "
748,A, Let's think step by step. 
749,There are a total of 250 files. ,
750,2.5 times the number of files that are infected by both a virus and a worm is 125. ,
751,This means that the number of files that are infected only by a worm is 125. ,
752,125 + 125 = 250 ,
753,This means that all of Sam's files are infected by either a virus or a worm or both. ,
754,"Now, if 50% of the files were not infected by a virus, this means that 50% of the files were infected by a virus. ",
755,125 files are infected by both a virus and a worm. ,
756,19st data,
757,1_th_sampling,
758,Q," By himself, Jack can clean a yacht in 12 hours. On a particular day, he happens to finish two-thirds of the work. The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. How long does it take Jill to finish the remaining work?"
759,A, Let's think step by step. 
760,Jack can clean a yacht in 12 hours. ,
761,"On a particular day, he happens to finish two-thirds of the work. ",
762,That means he finishes 8 hours of work. ,
763,"The remaining portion of the work is done by Jill, whose rate of cleaning is just 5% of what Jack can do. ",
764,That means Jill's rate is 0.05*12=0.6 hours per hour. ,
765,It will take her 8/0.6=13.3 hours to finish the work. ,
766,20st data,
767,1_th_sampling,
768,Q," In the coordinate plane, a triangle has vertices at (a,0), (b,0), and (x,y). If a>x>b>0>y, which of the following represents the area of that triangle?"
769,A, Let's think step by step. 
770,"First, we need to find the equation of the line that passes through the points (a,0) and (b,0). The equation of this line is y=0. ",
771,"Now, we need to find the equation of the line that passes through the points (x,y) and (0,0). The equation of this line is y=mx, where m is the slope of the line. ",
772,The area of the triangle is the area between these two lines. We can find this area by finding the integral of the equation of the line y=mx from x=a to ,
773,21st data,
774,1_th_sampling,
775,Q," At a certain factory, 10 percent of the staplers produced on Monday were defective and 2 percent of the non-defective staplers were rejected by mistake. If 72 of the non-defective staplers were rejected, what was the number of staplers produced that day?"
776,A, Let's think step by step. 
777,"First, we know that 10% of the staplers were defective. ",
778,"That means that for every 10 staplers, 1 was defective. ",
779,We also know that 2% of the non-defective staplers were rejected by mistake. ,
780,"That means that for every 100 non-defective staplers, 2 were rejected by mistake. ",
781,We're told that 72 of the non-defective staplers were rejected. ,
782,That means that there were 72 more staplers rejected than there were defective stapl ,
783,"Therefore, among A through E, the answer is D. ",
784,"There were 4,800 staplers produced that day.",
785,22st data,
786,1_th_sampling,
787,Q, A train M leaves City A at 5 am and reaches City B at 9am. Another train N leaves City B at 7am and reaches City A at 1030am. At what time do the 2 trains cross one another?
788,"The first train, M, will take 4 hours to reach City B. ",
789,"The second train, N, will take 3.5 hours to reach City A. ",
790,"Therefore, the two trains will cross one another at 8",30 am. 
791,23st data,
792,1_th_sampling,
793,Q," Two ants are standing side-by-side. One ant, which is 4 inches tall, casts a shadow that is 10 inches long. The other ant is 6 inches tall. Compute, in inches, the length of the shadow that the taller ant casts. "
794,A, The first ant casts a shadow that is 10 inches long. 
795,"The second ant is 6 inches tall, which means that it is 2 inches taller than the first ant. ",
796,"Since the first ant's shadow is 10 inches long, the second ant's shadow must be 2 inches longer, which means it is 12 inches long. ",
797,24st data,
798,1_th_sampling,
799,Q," A sporting goods store carries only yellow and white golf balls. At the beginning of the day it had 600 golf balls in stock, and by the end of the day it had sold 80% of its inventory of golf balls. If the store sold an equal number of yellow and white golf balls, and in doing so sold all of its white golf balls, how many yellow golf balls did the store have to begin the day? "
800,A, Let's think step by step. 
801,The store had 600 golf balls in stock. ,
802,80% of 600 golf balls is 480 golf balls. ,
803,That means that the store sold 480 golf balls in total. ,
804,"Since the store sold an equal number of yellow and white golf balls, that means that it sold 240 white golf balls. ",
805,That means that it had 360 yellow golf balls to begin the day. ,
806,25st data,
807,1_th_sampling,
808,Q, 900 + 5 × 12 = ? 
809,A, Let's think step by step. 
810,900 + 5 × 12 = ,
811,900 + 5 × (10 + 2) = ,
812,900 + 5 × 10 + 5 × 2 = ,
813,900 + 50 + 10 = ,
814,960 ,
815,26st data,
816,1_th_sampling,
817,Q," Arjun and Sajal are friends, each has some money. If Arun gives $30 to Sajal, the Sajal will have twice the money left with Arjun. But, if Sajal gives $10 to Arjun, Arjun will have thrice as much as is left with Sajal. How much money does each have?"
818,A, Let's think step by step. 
819,"Arjun and Sajal are friends, each has some money. ",
820,We can set up two equations to solve for the amount of money each person has. ,
821,Arjun + Sajal = x ,
822,2(x - 30) = 3(x - 10) ,
823,We can solve for x and then plug that value back into our original equation to solve for the amount of money each person has. ,
824,x = 100 ,
825,Arjun + Sajal = 100 ,
826,Arjun = 100 - Sajal ,
827,Now we can plug this value of ,
828,Arjun = 60 ,
829,Sajal = 40,
830,27st data,
831,1_th_sampling,
832,Q," If 27 bottles of soda cost A cents, how much will B bottles cost in dollars?"
833,A, Let's think step by step. 
834,We know that 27 bottles cost A cents. ,
835,We want to know how much B bottles will cost in dollars. ,
836,We can set up a proportion, 
837,We can cross multiply to solve for x, 
838,27x = AB ,
839,x = AB/27 ,
840,"Since we want the answer in dollars, we will divide AB by 2700", 
841,x = AB/2700 ,
842,"Therefore, the answer is (A). ",
843,28st data,
844,1_th_sampling,
845,A, Let's think step by step. 
846,8 am - Jim fills the bowl with dog food. 100% of the food is in the bowl. ,
847,9 am - The dog eats 1/3 of the food in the bowl. 66.67% of the food is in the bowl.,
848,10 am - The dog eats 1/3 of the food in the bowl. 44.44% of the food is in the bowl.,
849,11 am - The dog eats 1/3 of the food in the bowl. 29.63% of the food is in the bowl.,
850,12 pm - The dog eats 1/3 of the food in the bowl ,
851,"Therefore, among A through E, the answer is closest to D, 35%. ",
852,29st data,
853,1_th_sampling,
854,Q," A newspaper costs $4 on Sunday and $1 the rest of the days of the week. If a hotel orders twice as many papers on Sunday as it does the rest of the days of the week and pays $210 per week for newspapers, how many newspapers does it buy on Monday?"
855,A, Let's think step by step. 
856,The hotel pays $210 per week for newspapers. ,
857,We know that a newspaper costs $4 on Sunday and $1 the rest of the days of the week. ,
858,We also know that the hotel orders twice as many papers on Sunday as it does the rest of the days of the week. ,
859,"From this information, we can conclude that the hotel spends $4 x 2 = $8 on Sundays and $1 x 1 = $1 the rest of the days of the week. ",
860,$8 + $1 = $9 ,
861,$9 x 7 = $63 ,
862,30st data,
863,1_th_sampling,
864,Q," If the probability that Stock A will increase in value during the next month is 0.56, and the probability that Stock B will increase in value during the next month is 0.74. What is the greatest value for the probability that neither of these two events will occur? "
865,A, Let's think step by step. 
866,We know that the probability that stock A will increase in value is 0.56. ,
867,We also know that the probability that stock B will increase in value is 0.74. ,
868,We want to find the greatest value for the probability that neither of these two events will occur. ,
869,This means that we want to find the probability that stock A will NOT increase in value AND the probability that stock B will NOT increase in value. ,
870,We can use the AND rule for probability to help us solve this problem. ,
871,The AND rule for probability states that the probability of two events occurring ,
872,"Therefore, among A through E, the answer is D. ",
873,P(A AND B) = P(A) * P(B),
874,P(A AND B) = 0.,
875,31st data,
876,1_th_sampling,
877,Q, There are 10 oranges in a basket. Find the no. of ways in which 2 oranges are chosen from the basket? 
878,A, Let's think step by step. 
879,There are 10 oranges in the basket. ,
880,You want to choose 2 oranges. ,
881,How many ways can you choose the first orange? ,
882,There are 10 ways. ,
883,How many ways can you choose the second orange? ,
884,There are 9 ways. ,
885,"So, there are 10 * 9 ways to choose 2 oranges from the basket. ",
886,Answer, (B) 90 
887,32st data,
888,1_th_sampling,
889,Q," 20 marbles were pulled out of a bag of only white marbles, painted black, and then put back in. Then, another 20 marbles were pulled out, of which 1 was black, after which they were all returned to the bag. If the percentage of black marbles pulled out the second time represents their percentage in the bag, how many marbles in total Q does the bag currently hold? "
890,A, Let's think step by step. 
891,There are 20 white marbles in the bag. ,
892,"We pull them out, paint them black, and put them back in. ",
893,"Now, the bag has 20 black marbles and 20 white marbles. ",
894,"We pull out 20 marbles again, and this time 1 of them is black. ",
895,"This means that the percentage of black marbles pulled out the second time is 1/20, or 5%. ",
896,"Now, we want to know how many marbles are in the bag in total. ",
897,We can set up the following equation, 
898,(% black marbles pulled out ,
899,"Therefore, among A through E, the answer is D. ",
900,Q, there are more than 501 students in a school such that 20% of them exactly took physics and 28% of them exactly took math. What could be the least possible no of students in the school? 
901,A, Let's think step by step. 
902,There are more than 501 students in the school. ,
903,20% of them exactly took physics. ,
904,28% of them exactly took math. ,
905,We can write this as, 
906,There are more than 501 students in the school. ,
907,There are more than 100 students who took physics. ,
908,There are more than 140 students who took math. ,
909,We want to find the least possible number of students in the school. ,
910,The least possible number of students in the school is 241. ,
911,2st data,
912,Q," The sum of k consecutive integers is 51. If the least integer is -50, then k = Answer "
913,A, Let's think step by step. We know that the sum of k consecutive integers is 51. We also know that the least integer is -50. 
914,We can write this out as, 
915,-50 + (-49) + ... + k = 51 ,
916,We can solve this equation for k, 
917,k = 102 ,
918,3st data,
919,Q, A paper is in a square form whose one side is 20 cm. Two semi circles are drawn on its opposites as diameters. If these semi circles are cut down what is the area of the remaining paper? 
920,A, Let's think step by step. 
921,"First, we need to calculate the area of the paper. The paper is in a square form, so the area is just the length of one side squared. The length of one side is 20 cm, so the area is 20 cm * 20 cm = 400 cm^2. ",
922,"Next, we need to calculate the area of the two semi-circles. The area of a semi-circle is half the area of a circle, and the area of a circle is pi * r^2, where r is the radius. The radius of each semi-circle is half the length of one side",
923,4st data,
924,Q," Jerry purchased a 1-year $5,000 bond that paid an annual interest rate of 12% compounded every six months. How much interest had this bond accrued at maturity? "
925,A, Let's think step by step. 
926,"The first thing we need to do is calculate the semi-annual interest rate. We do this by dividing the annual interest rate by the number of compounding periods per year. In this case, we divide 12% by 2 to get 6%. ",
927,"Next, we need to calculate the amount of interest that accrues each six months. We do this by multiplying the face value of the bond ($5,000) by the semi-annual interest rate (6%). This gives us $300. ",
928,"Now, we need to calculate the total amount of interest that accrues over the life ",
929,5st data,
930,1_th_sampling,
931,Q," There is a 90% chance that a registered voter in Burghtown voted in the last election. If five registered voters are chosen at random, what is the approximate likelihood that exactly four of them voted in the last election?"
932,A, Let's think step by step. 
933,There is a 90% chance that a registered voter in Burghtown voted in the last election. ,
934,There is a 10% chance that a registered voter in Burghtown did not vote in the last election. ,
935,There are 5 registered voters in total. ,
936,There are 4 ways that 4 out of 5 voters could have voted in the last election. ,
937,There is only 1 way that 3 out of 5 voters could have voted in the last election. ,
938,There are no ways that 2 out of 5 voters or 1 out of 5 voters could have voted in the last election ,
939,6st data,
940,Q, In a row of children Neha is 12th from left end and Radha is 6th from right end. When Radha is shifted to left by 2 places and Neha is shifted to right by 2 places there 6 children between Radha and Neha. How many children are there in the row?
941,A, Let's think step by step. 
942,"There are 12 children to the left of Neha, so there must be at least 12 children in the row. ",
943,"There are 6 children to the right of Radha, so there must be at least 18 children in the row. ",
944,"There are 6 children between Radha and Neha, so there must be at least 24 children in the row. ",
945,"The answer must be between 24 and 27, and the only answer that satisfies this is 26. ",
946,"Therefore, the answer is 26. ",
947,7st data,
948,Q," Tires of a certain brand, when purchased new, last for four years. A customer can choose to purchase the new tires at a cost of $180 per tire or can have his current tires repaired at a cost of $40 per tire, a repair that will make the current tires last for one additional year. The average cost per year of the new tires is what percent greater than the cost of repairing the current tires? "
949,A, Let's think step by step. 
950,The cost of new tires is $180 per tire. ,
951,The cost of repairing the current tires is $40 per tire. ,
952,The difference in cost is $180 - $40 = $140. ,
953,"To find the percent increase, we take the difference in cost and divide it by the original cost. In other words, we take $140 and divide it by $40. ",
954,$140/$40 = 3.5 ,
955,"3.5 is greater than 1, so we know that the new tires cost more than the repaired tires. ",
956,8st data,
957,Q, Anna is able to buy 5 more articles for $300 after the price of each article decreased by 15%. What is the new selling price of each article?
958,A, Let's think step by step. 
959,Anna is able to buy 5 more articles for $300. ,
960,That means that the 5 articles cost $60 each. ,
961,The price of each article decreased by 15%. ,
962,That means that the original price of each article was $70. ,
963,$70 - $60 = $10 ,
964,The new selling price of each article is $10. ,
965,9st data,
966,A, Let's think step by step. 
967,The first car will travel 15 miles in 15/55 hours. ,
968,The second car will travel 15 miles in 15/52 hours. ,
969,Now we need to compare the two times. ,
970,15/55 = 0.2727272727272727 ,
971,15/52 = 0.28846153846153846 ,
972,"Since 0.28846153846153846 is greater than 0.2727272727272727, it will take the second car longer to travel 15 miles. ",
973,10st data,
974,1_th_sampling,
975,Q," A grocery sells a bag of ice for $1.25, and makes 20% profit. If it sells 500 bags of ice, how much total profit does it make? "
976,A, Let's think step by step. 
977,The grocery sells a bag of ice for $1.25. ,
978,This means that the grocery buys the bag of ice for $1. ,
979,The grocery makes 20% profit. ,
980,This means that the grocery's profit is $0.20. ,
981,The grocery sells 500 bags of ice. ,
982,"This means that the grocery's total profit is 500 * $0.20, which is $100. ",
983,11st data,
984,Q," A car finishes a journey in 20 hours at the speed of 60 km/hr. If the same distance is to be covered in 10 hours, how much speed does the car gain?"
985,A, Let's think step by step. 
986,The car is currently travelling at 60 km/hr. ,
987,"In order to travel the same distance in 10 hours, the car would need to travel at 6 times the speed, or 360 km/hr. ",
988,"Therefore, the car would need to gain 300 km/hr. ",
989,12st data,
990,Q," Amy is organizing her bookshelves and finds that she has 10 different types of books. She then codes each book with either a single letter or a pair of two different letters. If each type of book is uniquely represented by either a single letter or pair of letters, what is the smallest number of letters Amy will need to create the codes for all 10 types of books? (Assume the order of letters in a pair does not matter.) "
991,A, Let's think step by step. 
992,There are 10 different types of books. ,
993,That means we need at least 10 different codes. ,
994,The codes can be either a single letter or a pair of two different letters. ,
995,That means the maximum number of codes we would need is 20. ,
996,"However, we know that each type of book is uniquely represented by either a single letter or pair of letters. ",
997,"That means some of the codes can be single letters, and some of the codes can be pairs of letters. ",
998,The minimum number of codes we could use is 3. ,
999,13st data,
1000,Q, Q is as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years. What is definitely the difference between R and Q's age?
1001,A, Let's think step by step. 
1002,Q is as much younger than R as he is older than T. ,
1003,Q is younger than R by x years. ,
1004,Q is older than T by x years. ,
1005,Now we have two equations and two unknowns. We can solve for x. ,
1006,R + T = 50 ,
1007,R - Q = x ,
1008,T - Q = x ,
1009,R + T = 50 ,
1010,R - T = -x ,
1011,2T = 50 - x ,
1012,T = 25 - (1/2)x ,
1013,14st data,
1014,A, Let's think step by step. 
1015,"The first thing we need to do is figure out what the semi-perimeter of the room is. The semi-perimeter is just half of the perimeter, so we need to find the perimeter first. ",
1016,"The perimeter is just the sum of all the sides of the room. We know that the height is 2/5 of the semi-perimeter, so we can set up the following equation", 
1017,2/5sp = h ,
1018,"We also know that the width is 50 cm, so we can set up another equation", 
1019,w = 50 ,
1020,15st data,
1021,1_th_sampling,
1022,Q," A starts a business with Rs.40,000. After 2 months, B joined him with Rs.60,000. C joined them after some more time with Rs.120,000. At the end of the year, out of a total profit of Rs.375,000, C gets Rs.150,000 as his share. How many months after B joined the business, did C join? "
1023,A, Let's think step by step. 
1024,"C's share is 150,000. ",
1025,"The total profit is 375,000. ",
1026,"That means B's share is 375,000 - 150,000 = 225,000. ",
1027,"Now we know that B's share is 60,000 more than A's share. ",
1028,"That means A's share is 225,000 - 60,000 = 165,000. ",
1029,"We also know that the total amount of money invested in the business is 40,000 + 60,000 + 120,000 = 220,000. ",
1030,That means the total profit is 165% of ,
1031,"Therefore, among A through E, the answer is D. C joined 24 months after B joined. ",
1032,16st data,
1033,1_th_sampling,
1034,A," Let's think step by step. Jennie will bike 1/2 mile in 1 minute. In that same minute, Janice will bike 1/5 of a mile. So in one minute, they will have biked 3/10 + 1/5 = 11/20 of a mile. "
1035,It will take them (20/11) minutes to bike 1 mile. (D) 4 minutes ,
1036,17st data,
1037,1_th_sampling,
1038,A, Let's think step by step. 
1039,The athlete runs M miles in 4 hours. ,
1040,That's an average speed of M/4 miles per hour. ,
1041,The athlete rides a bike N miles in the same number of hours. ,
1042,That's an average speed of N/4 miles per hour. ,
1043,"The average speed for these two activities combined is the sum of the average speeds for each activity, so", 
